team 1,team 2,team 1 elo,team 2 elo,win,score advantage,team 1 xg for,team 1 xg against,team 1 xg diff,team 2 xg for,team 2 xg against,team 2 xg diff
Russia,Saudi Arabia,1752,1583,1,5,1.48,1.38,0.1,1.18,1.2,-0.02
Egypt,Uruguay,1613,1922,0,-1,0.75,1.75,-1.0,1.55,1.12,0.43
Morocco,Iran,1728,1823,0,-1,0.85,1.35,-0.5,0.73,1.1,-0.37
Portugal,Spain,1959,2011,,0,1.3,0.78,0.52,1.43,0.73,0.7
France,Australia,2092,1736,1,1,1.68,1.31,0.37,0.88,1.62,-0.74
Argentina,Iceland,1920,1668,,0,1.35,1.42,-0.07,0.98,1.48,-0.5
Peru,Denmark,1855,1897,0,-1,1.02,1.45,-0.43,1.15,1.1,0.05
Croatia,Nigeria,1924,1712,1,2,1.7,1.49,0.21,1.0,1.55,-0.55
Costa Rica,Serbia,1724,1814,0,-1,0.78,1.8,-1.02,0.8,1.72,-0.92
Germany,Mexico,1937,1779,0,-1,0.95,1.6,-0.65,1.2,1.35,-0.15
Brazil,Switzerland,2136,1921,,0,2.05,0.72,1.33,1.08,1.22,-0.14
Sweden,South Korea,1850,1778,1,1,1.25,1.2,0.05,0.83,1.58,-0.75
Belgium,Panama,2034,1565,1,3,1.85,1.15,0.7,0.72,2.1,-1.38
Tunisia,England,1646,1959,0,-1,0.93,1.65,-0.72,1.9,1.1,0.8
Colombia,Japan,1960,1730,0,-1,1.22,1.28,-0.06,1.1,1.4,-0.3
Poland,Senegal,1751,1755,0,-1,0.9,1.7,-0.8,1.05,1.3,-0.25
Russia,Egypt,1752,1613,1,2,1.48,1.38,0.1,0.75,1.75,-1.0
Portugal,Morocco,1959,1728,1,1,1.3,0.78,0.52,0.85,1.35,-0.5
Uruguay,Saudi Arabia,1922,1583,1,1,1.55,1.12,0.43,1.18,1.2,-0.02
Iran,Spain,1823,2011,0,-1,0.73,1.1,-0.37,1.43,0.73,0.7
Denmark,Australia,1897,1736,,0,1.15,1.1,0.05,0.88,1.62,-0.74
France,Peru,2092,1855,1,1,1.68,1.31,0.37,1.02,1.45,-0.43
Argentina,Croatia,1920,1924,0,-3,1.35,1.42,-0.07,1.7,1.49,0.21
Brazil,Costa Rica,2136,1724,1,2,2.05,0.72,1.33,0.78,1.8,-1.02
Nigeria,Iceland,1712,1668,1,2,1.0,1.55,-0.55,0.98,1.48,-0.5
Serbia,Switzerland,1814,1921,0,-1,0.8,1.72,-0.92,1.08,1.22,-0.14
Belgium,Tunisia,2034,1646,1,3,1.85,1.15,0.7,0.93,1.65,-0.72
South Korea,Mexico,1778,1779,0,-1,0.83,1.58,-0.75,1.2,1.35,-0.15
Germany,Sweden,1937,1850,1,1,0.95,1.6,-0.65,1.25,1.2,0.05
England,Panama,1959,1565,1,5,1.9,1.1,0.8,0.72,2.1,-1.38
Japan,Senegal,1730,1755,,0,1.1,1.4,-0.3,1.05,1.3,-0.25
Poland,Colombia,1751,1960,0,-3,0.9,1.7,-0.8,1.22,1.28,-0.06
Saudi Arabia,Egypt,1583,1613,1,1,1.18,1.2,-0.02,0.75,1.75,-1.0
Uruguay,Russia,1922,1752,1,3,1.55,1.12,0.43,1.48,1.38,0.1
