num_features,features,val_mae,val_rmse,val_r2
6,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0526959569550989,1.3821538193302405,0.4176088232140603
5,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, avg_attend_diff",1.0674226766848611,1.3825109916725757,0.41858408738518504
6,"elo_diff, xg_for_diff, alt_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0655773280961631,1.3835484058482796,0.4182614896052539
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_attend_diff",1.0604706738641076,1.3840062232369192,0.41632559324993323
6,"xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0655804149543635,1.3843905567069132,0.4165267621324704
6,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.0636025822946933,1.3847759523705507,0.4171752311865538
6,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0636132845402608,1.3848012370462834,0.4171569683779026
6,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0656235907298062,1.3849867523477801,0.4169181940346913
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0602909077290024,1.3854276485467454,0.4159168569452689
2,"elo_diff, avg_attend_diff",1.0514275957698793,1.386120249290758,0.41789933467884766
7,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0580425884488465,1.3861526291750814,0.4140792107637901
7,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.05807883084417,1.3863658583591134,0.4146762663745408
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.0573883577724255,1.387011687036495,0.4143110654964333
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0573833206547492,1.3870278168335626,0.4143000612463256
7,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0697002285024149,1.3892640092194233,0.41316194876395707
3,"elo_diff, humid_diff, avg_attend_diff",1.052155486597309,1.390873142394891,0.4133680491761877
8,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0629888687711286,1.3913023479959075,0.4105074054565025
3,"elo_diff, avg_age_diff, avg_attend_diff",1.0564170876755135,1.3915075109400619,0.41298508052258304
3,"elo_diff, alt_diff, avg_attend_diff",1.0528845108371345,1.3916073986192072,0.4132483301704531
3,"elo_diff, avg_per_player_diff, avg_attend_diff",1.0629777763899992,1.3946867206781557,0.40980939224944557
3,"elo_diff, total_value_diff, avg_attend_diff",1.0629646365118892,1.394687412742231,0.40980559278652173
4,"elo_diff, alt_diff, humid_diff, avg_attend_diff",1.0503056157581414,1.395969919487322,0.4089958352998838
4,"elo_diff, alt_diff, avg_age_diff, avg_attend_diff",1.0569812968899646,1.3966700450045209,0.4085173974266015
4,"elo_diff, humid_diff, avg_age_diff, avg_attend_diff",1.0579642630233448,1.3967786793916317,0.40793838871648735
4,"elo_diff, humid_diff, avg_per_player_diff, avg_attend_diff",1.0636139707655905,1.3985869509899418,0.4058856191152991
4,"elo_diff, humid_diff, total_value_diff, avg_attend_diff",1.0636022701562706,1.3985889293338432,0.4058805328276706
4,"elo_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0682874759502952,1.4002933228395766,0.404751958205185
4,"elo_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.068279286768116,1.4002966502699434,0.40474483800029176
4,"elo_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0685416298979116,1.4003132622661556,0.40478301697387964
4,"elo_diff, alt_diff, avg_per_player_diff, avg_attend_diff",1.0652699136100485,1.4013155695307995,0.4041946545094146
4,"elo_diff, alt_diff, total_value_diff, avg_attend_diff",1.0652620677547482,1.4013192425736472,0.40418852841893155
5,"elo_diff, alt_diff, humid_diff, avg_age_diff, avg_attend_diff",1.0554034068431402,1.4015044268846102,0.4037869353127017
2,"avg_per_player_diff, avg_attend_diff",1.0760342211244742,1.4030903024158377,0.401006505504441
2,"total_value_diff, avg_attend_diff",1.0760172651623459,1.4031131731797544,0.40098331283665795
5,"elo_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0681928546662716,1.403486636720545,0.4014854206841866
5,"elo_diff, alt_diff, humid_diff, avg_per_player_diff, avg_attend_diff",1.0621055301237263,1.4047112527308416,0.400605542901327
5,"elo_diff, alt_diff, humid_diff, total_value_diff, avg_attend_diff",1.0620916212932738,1.4047155634917947,0.40059836912795066
5,"elo_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0695601878952143,1.4048577124915154,0.4001971393853013
5,"elo_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.0695512048672458,1.404861500309722,0.4001893834656262
5,"elo_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.073593606169123,1.405685842154261,0.3998688856904851
5,"elo_diff, alt_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0699386272909381,1.4063930420791366,0.399507012704167
5,"elo_diff, alt_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.069927706595778,1.4063985570818998,0.3994983043690699
3,"alt_diff, avg_per_player_diff, avg_attend_diff",1.0748735335141437,1.4075118500917234,0.39744566829902905
3,"alt_diff, total_value_diff, avg_attend_diff",1.0748663268639624,1.407530447448559,0.3974264508387694
5,"elo_diff, alt_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.070958182483985,1.4075367932442786,0.39867274874653785
3,"total_value_diff, avg_per_player_diff, avg_attend_diff",1.081436204632099,1.4084357151642255,0.3962886559672139
3,"humid_diff, avg_per_player_diff, avg_attend_diff",1.0777789603853143,1.4085284171340018,0.39571460016090837
3,"humid_diff, total_value_diff, avg_attend_diff",1.0777595769367239,1.40854532712754,0.3956959629437325
3,"avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0800321465890164,1.4092103202907427,0.39556021922165896
3,"avg_age_diff, total_value_diff, avg_attend_diff",1.0800174001019074,1.4092323133673221,0.3955366650056122
6,"elo_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.074147476241013,1.409721865629966,0.3957227653614207
6,"elo_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0660940426871255,1.4101377881960178,0.39574939973083945
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0675371567693897,1.4104506857739403,0.39529389238805446
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.0675256716718817,1.4104563078760008,0.39528449617172406
4,"alt_diff, humid_diff, avg_per_player_diff, avg_attend_diff",1.0729902026933225,1.4119978595611196,0.3928058508806746
4,"alt_diff, humid_diff, total_value_diff, avg_attend_diff",1.0729655196994063,1.4120077818364922,0.39279330523011813
6,"elo_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0749913839436216,1.4123437000829369,0.39416183376100655
4,"humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0822334404550251,1.4132287777981,0.39156069694137846
4,"humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.079874266857152,1.4134716657171853,0.3912023471059103
4,"humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.0798607196497028,1.4134889074643637,0.39118259136248557
4,"alt_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.080355992262363,1.4138300626602873,0.3918990661825676
4,"alt_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0801152121211626,1.4139445305549527,0.3915283879224363
4,"alt_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.0800994832176591,1.4139615912485823,0.3915094466625073
4,"avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0852730943081914,1.4142071024008418,0.39098313600343276
7,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.071430680961742,1.415820409810946,0.3903584413825535
4,"elo_diff, xg_for_diff, alt_diff, total_value_diff",1.074543777063056,1.4160065442437277,0.39479981648932544
4,"elo_diff, xg_for_diff, alt_diff, avg_per_player_diff",1.0745748974843887,1.4160785093768995,0.39474587448473336
