num_features,features,val_accuracy
7,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8385185185185187
5,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8377777777777777
6,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8377777777777777
5,"elo_diff, xg_for_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8377777777777777
4,"elo_diff, alt_diff, humid_diff, avg_attend_diff",0.8370370370370371
2,"humid_diff, avg_attend_diff",0.8355555555555556
4,"elo_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8348148148148149
3,"elo_diff, total_value_diff, avg_attend_diff",0.8348148148148149
3,"elo_diff, avg_per_player_diff, avg_attend_diff",0.8348148148148149
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_attend_diff",0.8340740740740742
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8333333333333335
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8333333333333335
7,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8333333333333335
4,"alt_diff, humid_diff, avg_age_diff, avg_attend_diff",0.8333333333333333
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_attend_diff",0.8325925925925927
4,"elo_diff, alt_diff, total_value_diff, avg_attend_diff",0.8325925925925927
4,"elo_diff, alt_diff, avg_per_player_diff, avg_attend_diff",0.8325925925925927
5,"elo_diff, alt_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.831851851851852
4,"humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8311111111111111
3,"xg_for_diff, avg_age_diff, avg_attend_diff",0.8311111111111111
4,"humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8303703703703704
5,"humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8296296296296296
2,"elo_diff, avg_attend_diff",0.8281481481481482
6,"alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8281481481481481
5,"alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8281481481481481
5,"alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8281481481481481
5,"elo_diff, alt_diff, humid_diff, avg_age_diff, avg_attend_diff",0.8274074074074076
3,"elo_diff, xg_for_diff, avg_attend_diff",0.8274074074074075
3,"humid_diff, avg_per_player_diff, avg_attend_diff",0.8274074074074075
4,"humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8274074074074075
3,"humid_diff, total_value_diff, avg_attend_diff",0.8274074074074075
3,"alt_diff, humid_diff, avg_attend_diff",0.8274074074074074
4,"xg_for_diff, alt_diff, avg_age_diff, avg_attend_diff",0.825925925925926
4,"elo_diff, xg_for_diff, alt_diff, avg_attend_diff",0.8244444444444445
3,"elo_diff, alt_diff, avg_attend_diff",0.8237037037037038
4,"alt_diff, humid_diff, total_value_diff, avg_attend_diff",0.8214814814814815
4,"alt_diff, humid_diff, avg_per_player_diff, avg_attend_diff",0.8214814814814815
5,"alt_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8214814814814815
1,avg_attend_diff,0.82
4,"elo_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8185185185185186
4,"elo_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8185185185185186
5,"elo_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8177777777777778
2,"alt_diff, avg_attend_diff",0.8170370370370371
5,"elo_diff, alt_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8170370370370371
