Team,Avg Age
Argentina,27.7
Iran,28.9
Uruguay,28.2
Mexico,28.1
Belgium,28.0
Costa Rica,27.9
Peru,27.8
France,27.6
Brazil,27.4
Portugal,27.3
Croatia,27.2
Germany,26.8
Spain,26.7
England,26.5
Netherlands,26.4
Denmark,26.3
Switzerland,26.2
Poland,26.1
Japan,26.0
Serbia,25.9
Senegal,25.8
Morocco,25.7
Tunisia,25.5
Cameroon,25.4
South Korea,25.3
Canada,25.1
Ecuador,24.9
Qatar,24.8
Australia,24.8
USA,24.5
Saudi Arabia,24.4
Wales,24.3
Ghana,24.7
